ts_utc,elapsed_s,scenario,deployment,replicas,ready,cpu_pct,desired
2026-07-13T00:49:06Z,484,hpa,patient-data,1,1,16,1
2026-07-13T00:49:06Z,484,hpa,data-transform,1,1,8,1
2026-07-13T00:49:11Z,489,hpa,api-gateway,1,1,25,1
2026-07-13T00:49:11Z,489,hpa,authorization,1,1,8,1
2026-07-13T00:49:11Z,489,hpa,patient-data,1,1,16,1
2026-07-13T00:49:11Z,489,hpa,data-transform,1,1,8,1
2026-07-13T00:49:16Z,494,hpa,api-gateway,1,1,34,1
2026-07-13T00:49:16Z,494,hpa,authorization,1,1,9,1
2026-07-13T00:49:16Z,494,hpa,patient-data,1,1,16,1
2026-07-13T00:49:16Z,494,hpa,data-transform,1,1,7,1
2026-07-13T00:49:22Z,500,hpa,api-gateway,1,1,34,1
2026-07-13T00:49:22Z,500,hpa,authorization,1,1,9,1
2026-07-13T00:49:22Z,500,hpa,patient-data,1,1,16,1
2026-07-13T00:49:22Z,500,hpa,data-transform,1,1,7,1
2026-07-13T00:49:27Z,505,hpa,api-gateway,1,1,26,1
2026-07-13T00:49:27Z,505,hpa,authorization,1,1,10,1
2026-07-13T00:49:27Z,505,hpa,patient-data,1,1,16,1
2026-07-13T00:49:27Z,505,hpa,data-transform,1,1,6,1
2026-07-13T00:49:32Z,510,hpa,api-gateway,1,1,26,1
2026-07-13T00:49:32Z,510,hpa,authorization,1,1,10,1
2026-07-13T00:49:32Z,510,hpa,patient-data,1,1,16,1
2026-07-13T00:49:32Z,510,hpa,data-transform,1,1,6,1
2026-07-13T00:49:37Z,515,hpa,api-gateway,1,1,26,1
2026-07-13T00:49:37Z,515,hpa,authorization,1,1,10,1
2026-07-13T00:49:37Z,515,hpa,patient-data,1,1,16,1
2026-07-13T00:49:37Z,515,hpa,data-transform,1,1,6,1
2026-07-13T00:49:43Z,521,hpa,api-gateway,1,1,27,1
2026-07-13T00:49:43Z,521,hpa,authorization,1,1,10,1
2026-07-13T00:49:43Z,521,hpa,patient-data,1,1,17,1
2026-07-13T00:49:43Z,521,hpa,data-transform,1,1,8,1
2026-07-13T00:49:48Z,526,hpa,api-gateway,1,1,27,1
2026-07-13T00:49:48Z,526,hpa,authorization,1,1,10,1
2026-07-13T00:49:48Z,526,hpa,patient-data,1,1,17,1
2026-07-13T00:49:48Z,526,hpa,data-transform,1,1,8,1
2026-07-13T00:49:53Z,531,hpa,api-gateway,1,1,27,1
2026-07-13T00:49:53Z,531,hpa,authorization,1,1,10,1
2026-07-13T00:49:53Z,531,hpa,patient-data,1,1,17,1
2026-07-13T00:49:53Z,531,hpa,data-transform,1,1,8,1
2026-07-13T00:49:59Z,537,hpa,api-gateway,1,1,23,1
2026-07-13T00:49:59Z,537,hpa,authorization,1,1,6,1
2026-07-13T00:49:59Z,537,hpa,patient-data,1,1,11,1
2026-07-13T00:49:59Z,537,hpa,data-transform,1,1,5,1
2026-07-13T00:50:04Z,542,hpa,api-gateway,1,1,23,1
2026-07-13T00:50:04Z,542,hpa,authorization,1,1,6,1
2026-07-13T00:50:04Z,542,hpa,patient-data,1,1,11,1
2026-07-13T00:50:04Z,542,hpa,data-transform,1,1,5,1
2026-07-13T00:50:09Z,547,hpa,api-gateway,1,1,23,1
2026-07-13T00:50:09Z,547,hpa,authorization,1,1,6,1
